S.no,employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
628,00-28223512,John,Jones,Male,Illinois,Naperville,15-01-2024,Operations,Inventory Specialist,PhD,"1,05,797",Good,Yes,19-03-1993,
629,00-66925051,Sarah,Anderson,Female,Michigan,Grand Rapids,26-12-2018,Operations,Operations Analyst,Bachelor,"1,05,675",Good,Yes,26-03-1966,09-04-2022
630,00-41776042,Thomas,Rodriguez,Female,Michigan,Grand Rapids,15-02-2021,Operations,Logistics Coordinator,High School,"54,963",Satisfactory,No,25-03-1968,
631,00-59469782,Patricia,Jackson,Male,New York,Buffalo,29-09-2022,Operations,Operations Manager,Bachelor,"1,18,997",Good,No,21-03-1987,
632,00-20500470,Thomas,Martin,Male,Michigan,Detroit,01-10-2017,IT,IT Support Specialist,High School,"90,959",Satisfactory,Yes,17-03-2001,
633,00-81810948,James,Thomas,Female,New York,Buffalo,30-09-2020,Sales,Sales Representative,Master,"1,05,183",Good,Yes,22-03-1982,
634,00-49542951,Elizabeth,Garcia,Male,Michigan,Detroit,17-10-2022,IT,System Administrator,Master,"58,050",Satisfactory,No,24-03-1974,
635,00-86887967,Mary,Martinez,Male,New York,Rochester,01-01-2022,IT,IT Manager,Master,"1,13,538",Good,Yes,18-03-1999,
636,00-20316277,William,Rodriguez,Female,New York,New York City,27-11-2021,Customer Service,Support Specialist,Master,"83,679",Satisfactory,No,16-03-2004,
637,00-91043555,Jennifer,Jackson,Female,New York,Rochester,11-09-2016,Sales,Sales Representative,Master,"72,989",Good,No,20-03-1988,
638,00-41701674,Jessica,Garcia,Male,New York,Rochester,31-08-2024,Sales,Sales Manager,Master,"61,062",Satisfactory,No,19-03-1995,
639,00-30689702,Jessica,Wilson,Female,Michigan,Grand Rapids,01-09-2017,Customer Service,Help Desk Technician,Bachelor,"77,637",Good,No,25-03-1968,
640,00-56315279,Mary,Rodriguez,Male,Michigan,Detroit,04-08-2015,Customer Service,Customer Service Representative,PhD,"1,02,264",Excellent,No,24-03-1974,
641,00-81473736,Linda,Gonzalez,Male,New York,Rochester,30-11-2022,Sales,Sales Representative,PhD,"84,422",Satisfactory,No,19-03-1995,
642,00-68349054,James,Martinez,Male,North Carolina,Raleigh,14-04-2019,Operations,Logistics Coordinator,High School,"62,761",Good,No,25-03-1970,
643,00-67953319,Karen,Rodriguez,Female,New York,Buffalo,12-01-2018,Sales,Sales Specialist,High School,"83,468",Satisfactory,Yes,26-03-1967,
644,00-42453439,Charles,Miller,Female,New York,Rochester,14-10-2018,HR,HR Coordinator,Master,"51,386",Satisfactory,No,16-03-2004,
645,00-11605433,Susan,Brown,Male,New York,Rochester,01-03-2016,IT,IT Support Specialist,Master,"78,759",Excellent,Yes,21-03-1986,
646,00-14569008,James,Martin,Male,New York,New York City,21-08-2015,Sales,Sales Consultant,High School,"65,725",Excellent,Yes,18-03-1999,
647,00-27435856,Richard,Jackson,Male,New York,New York City,30-03-2016,Sales,Sales Consultant,Master,"88,609",Excellent,No,24-03-1975,
648,00-20162184,Joseph,Rodriguez,Female,New York,Buffalo,06-10-2022,Customer Service,Support Specialist,Master,"71,229",Good,No,17-03-2000,
649,00-18373492,Richard,Gonzalez,Female,New York,Buffalo,04-09-2015,Operations,Logistics Coordinator,Master,"73,321",Satisfactory,No,23-03-1976,16-04-2017
650,00-91913332,Richard,Garcia,Female,New York,Rochester,08-07-2020,Marketing,Marketing Manager,Bachelor,"1,06,525",Satisfactory,No,20-03-1991,
651,00-24260594,Joseph,Rodriguez,Male,New York,New York City,23-05-2015,Operations,Operations Manager,High School,"82,846",Excellent,No,23-03-1976,03-09-2018
652,00-29978882,James,Johnson,Female,New York,Rochester,19-05-2019,Sales,Sales Specialist,Bachelor,"93,231",Good,No,23-03-1979,
653,00-79173535,Jessica,Thomas,Female,New York,Buffalo,13-07-2019,Marketing,Marketing Manager,Bachelor,"50,433",Excellent,No,22-03-1980,
654,00-74701849,Patricia,Jackson,Female,New York,Rochester,10-01-2019,Operations,Logistics Coordinator,Master,"1,02,509",Satisfactory,No,17-03-2001,
655,00-96848857,John,Lopez,Female,New York,Rochester,27-07-2024,Operations,Logistics Coordinator,High School,"1,10,245",Good,No,21-03-1986,
656,00-33705307,Sarah,Johnson,Male,North Carolina,Raleigh,30-05-2022,Finance,Accountant,Master,"1,01,131",Good,No,18-03-1998,
657,00-58219211,Jessica,Williams,Female,New York,Rochester,29-11-2019,Customer Service,Customer Service Representative,Bachelor,"54,679",Satisfactory,No,19-03-1992,23-09-2023
658,00-42008932,Jessica,Gonzalez,Female,New York,New York City,22-11-2023,Operations,Logistics Coordinator,PhD,"1,19,984",Satisfactory,Yes,23-03-1976,
659,00-12203625,Mary,Hernandez,Female,North Carolina,Charlotte,15-10-2018,Marketing,Marketing Manager,PhD,"65,491",Good,No,20-03-1991,
660,00-99565693,Thomas,Anderson,Female,New York,Rochester,04-10-2024,IT,Software Developer,Bachelor,"59,441",Good,No,17-03-2002,
661,00-75618337,James,Thomas,Female,Michigan,Warren,07-07-2015,Operations,Operations Analyst,Bachelor,"51,882",Good,Yes,19-03-1993,
662,00-51250118,Patricia,Anderson,Female,New York,Rochester,30-11-2016,IT,IT Manager,High School,"64,965",Good,No,24-03-1973,
663,00-92628262,Linda,Williams,Male,New York,New York City,12-10-2019,Operations,Logistics Coordinator,PhD,"92,498",Excellent,Yes,18-03-1997,
664,00-87304983,Sarah,Jones,Male,New York,Buffalo,19-05-2024,HR,HR Coordinator,High School,"72,734",Satisfactory,No,22-03-1983,29-05-2026
665,00-28956482,Susan,Garcia,Male,New York,Rochester,24-02-2019,Operations,Operations Analyst,PhD,"81,934",Good,No,26-03-1967,14-03-2020
666,00-94851724,Karen,Gonzalez,Male,Pennsylvania,Philadelphia,06-03-2015,Operations,Inventory Specialist,High School,"50,832",Good,No,16-03-2004,
667,00-21964334,Charles,Martinez,Male,Illinois,Aurora,11-10-2022,IT,IT Support Specialist,Bachelor,"77,021",Good,No,19-03-1995,
668,00-80207530,Joseph,Wilson,Male,Michigan,Detroit,15-12-2016,Operations,Operations Manager,Bachelor,"1,15,521",Good,No,18-03-1999,
669,00-50426348,Barbara,Wilson,Male,New York,New York City,03-04-2021,Operations,Operations Analyst,Bachelor,"65,401",Good,No,25-03-1971,
670,00-93070162,Barbara,Moore,Male,New York,Rochester,17-06-2017,Sales,Sales Representative,Bachelor,"86,231",Good,Yes,17-03-2001,
671,00-30027622,Jessica,Thomas,Female,New York,New York City,16-10-2016,Customer Service,Customer Service Manager,High School,"97,735",Good,Yes,21-03-1986,
672,00-43739891,David,Martin,Female,New York,Buffalo,27-06-2015,Marketing,Marketing Manager,High School,"73,053",Satisfactory,No,19-03-1994,
673,00-75103838,Thomas,Brown,Male,New York,New York City,21-08-2017,Operations,Inventory Specialist,Master,"1,04,927",Good,No,19-03-1992,
674,00-53712695,Linda,Brown,Male,New York,Buffalo,21-07-2017,Sales,Sales Manager,Bachelor,"1,04,079",Good,No,19-03-1992,
675,00-39616854,John,Thomas,Female,New York,Rochester,07-06-2020,Sales,Sales Manager,PhD,"68,997",Satisfactory,No,20-03-1991,
676,00-71067841,Jennifer,Gonzalez,Male,Pennsylvania,Pittsburgh,12-07-2016,Sales,Sales Representative,Bachelor,"97,001",Excellent,No,21-03-1987,
677,00-27074074,Mary,Jackson,Female,New York,New York City,23-02-2018,IT,Software Developer,High School,"1,11,018",Good,Yes,24-03-1975,
678,00-56113991,Linda,Martinez,Male,New York,Rochester,04-10-2016,Operations,Operations Analyst,Bachelor,"61,334",Excellent,No,23-03-1978,
679,00-75661110,Michael,Jackson,Female,Michigan,Grand Rapids,21-05-2024,Customer Service,Help Desk Technician,Master,"51,901",Good,No,23-03-1977,
680,00-43105363,Linda,Hernandez,Male,Ohio,Cleveland,01-07-2021,Customer Service,Customer Service Representative,Bachelor,"50,665",Good,No,23-03-1978,
681,00-15376584,Jessica,Taylor,Female,New York,New York City,10-10-2019,Customer Service,Help Desk Technician,PhD,"62,844",Good,No,23-03-1976,
682,00-21152355,Sarah,Smith,Male,North Carolina,Greensboro,17-03-2023,Customer Service,Help Desk Technician,Bachelor,"67,394",Good,Yes,22-03-1982,
683,00-96924795,John,Smith,Female,New York,Buffalo,03-07-2022,IT,System Administrator,Bachelor,"1,10,199",Good,No,25-03-1968,
684,00-13276720,Joseph,Anderson,Male,New York,New York City,20-10-2024,Operations,Inventory Specialist,Bachelor,"98,551",Good,Yes,24-03-1975,
685,00-10183025,John,Gonzalez,Male,New York,Rochester,25-09-2018,Operations,Operations Manager,Master,"1,05,823",Excellent,No,21-03-1987,
686,00-92208524,Sarah,Jackson,Male,New York,New York City,01-11-2023,Operations,Operations Manager,Master,"57,184",Satisfactory,No,24-03-1972,
687,00-58853980,Mary,Brown,Male,Michigan,Grand Rapids,06-02-2019,Operations,Inventory Specialist,High School,"97,916",Good,No,22-03-1981,
688,00-84999585,John,Moore,Female,New York,Rochester,04-09-2023,Operations,Operations Analyst,Bachelor,"93,899",Needs Improvement,No,20-03-1989,
689,00-97112459,Jessica,Jackson,Female,New York,Rochester,09-05-2017,Sales,Sales Consultant,Master,"96,230",Needs Improvement,No,21-03-1987,
690,00-66764586,William,Johnson,Male,Pennsylvania,Philadelphia,08-03-2019,Operations,Logistics Coordinator,PhD,"1,13,730",Good,Yes,24-03-1972,
691,00-26469781,Jessica,Moore,Female,New York,Rochester,03-04-2024,Operations,Logistics Coordinator,PhD,"98,253",Good,No,17-03-2000,
692,00-71454824,John,Williams,Female,New York,Buffalo,02-01-2017,Operations,Logistics Coordinator,High School,"64,334",Satisfactory,No,19-03-1994,
693,00-29858055,Jessica,Jones,Female,New York,New York City,02-11-2020,Operations,Operations Manager,Master,"1,04,596",Good,Yes,25-03-1970,
694,00-73606441,Barbara,Wilson,Male,New York,Buffalo,10-04-2023,Operations,Operations Manager,Master,"74,780",Satisfactory,Yes,17-03-2000,05-04-2028
695,00-41182544,Thomas,Hernandez,Female,Pennsylvania,Pittsburgh,28-06-2021,Operations,Logistics Coordinator,Master,"1,13,720",Satisfactory,No,26-03-1967,
696,00-81157706,Sarah,Anderson,Male,Michigan,Grand Rapids,30-05-2018,Operations,Operations Analyst,Master,"72,509",Good,No,20-03-1988,
697,00-59915883,Elizabeth,Johnson,Female,New York,New York City,17-12-2018,Sales,Sales Specialist,PhD,"71,805",Needs Improvement,No,19-03-1994,
698,00-48285148,Jennifer,Garcia,Male,New York,Rochester,08-10-2022,IT,Software Developer,Bachelor,"81,182",Excellent,No,18-03-1997,13-01-2025
699,00-87111463,Robert,Anderson,Female,New York,Buffalo,23-02-2019,Customer Service,Customer Service Representative,Bachelor,"54,546",Satisfactory,No,21-03-1984,
700,00-29856736,Barbara,Anderson,Female,North Carolina,Greensboro,27-10-2016,Customer Service,Support Specialist,High School,"53,266",Good,No,23-03-1979,
701,00-29513094,Joseph,Hernandez,Female,Pennsylvania,Philadelphia,18-01-2015,Customer Service,Support Specialist,Master,"1,12,116",Excellent,No,21-03-1986,
702,00-87004412,Robert,Jackson,Male,Michigan,Warren,16-12-2019,Finance,Financial Analyst,High School,"1,12,781",Satisfactory,Yes,17-03-2002,
703,00-83948598,Patricia,Martinez,Female,New York,New York City,04-07-2019,Customer Service,Customer Service Representative,PhD,"96,844",Satisfactory,No,18-03-1999,
704,00-91624673,Michael,Jackson,Male,New York,Rochester,28-06-2017,Marketing,Content Creator,Bachelor,"52,955",Excellent,Yes,18-03-1999,
705,00-69788371,John,Taylor,Female,New York,Buffalo,07-03-2017,Sales,Sales Representative,Master,"1,17,050",Excellent,Yes,17-03-2001,
706,00-58461306,Richard,Jones,Female,Michigan,Warren,29-07-2024,Operations,Inventory Specialist,Master,"1,00,608",Needs Improvement,No,22-03-1981,01-01-2027
707,00-57158074,Elizabeth,Anderson,Female,Pennsylvania,Allentown,25-12-2015,Sales,Sales Consultant,PhD,"1,04,474",Good,Yes,23-03-1976,
708,00-66885794,Susan,Jones,Female,New York,Rochester,15-09-2021,Sales,Sales Manager,Bachelor,"77,234",Satisfactory,Yes,21-03-1985,
709,00-80504712,David,Williams,Female,Pennsylvania,Allentown,25-06-2023,IT,IT Support Specialist,High School,"50,867",Good,No,23-03-1978,
710,00-46685578,Susan,Garcia,Female,New York,Rochester,07-03-2020,Finance,Accountant,Bachelor,"74,380",Good,No,22-03-1980,
711,00-75845287,Mary,Martinez,Male,New York,Rochester,29-05-2018,Operations,Inventory Specialist,PhD,"79,428",Good,Yes,17-03-2003,
712,00-30672747,William,Martinez,Male,New York,Rochester,10-05-2024,Finance,Accounts Payable Specialist,High School,"87,707",Excellent,No,23-03-1978,
713,00-96541691,Linda,Smith,Female,Ohio,Columbus,30-07-2023,IT,System Administrator,PhD,"58,745",Good,No,26-03-1966,
714,00-87989327,Jessica,Jackson,Male,New York,Buffalo,26-09-2024,Operations,Logistics Coordinator,PhD,"65,674",Satisfactory,No,22-03-1981,
715,00-87210585,James,Rodriguez,Female,New York,New York City,10-07-2021,Customer Service,Customer Service Manager,Bachelor,"91,901",Needs Improvement,No,24-03-1975,
716,00-28186152,Barbara,Garcia,Female,New York,New York City,21-01-2018,Finance,Financial Analyst,PhD,"96,659",Satisfactory,No,17-03-2001,
717,00-81083363,John,Taylor,Male,Ohio,Columbus,06-08-2023,Sales,Sales Consultant,High School,"71,906",Satisfactory,No,25-03-1970,
718,00-52441045,Elizabeth,Rodriguez,Female,New York,Rochester,29-10-2022,Operations,Logistics Coordinator,High School,"96,088",Good,Yes,19-03-1995,23-03-2026
719,00-47771252,Barbara,Thomas,Male,New York,Buffalo,25-10-2018,Operations,Operations Analyst,High School,"78,557",Good,No,19-03-1995,
720,00-35288872,Sarah,Martin,Male,New York,Rochester,28-04-2024,Operations,Operations Manager,PhD,"1,10,357",Good,No,17-03-2000,
721,00-27613681,James,Thomas,Female,New York,Buffalo,30-06-2018,Sales,Sales Specialist,Bachelor,"1,07,925",Good,Yes,26-03-1966,
722,00-55908520,Jennifer,Martinez,Female,Ohio,Columbus,08-05-2023,Sales,Sales Manager,Bachelor,"66,870",Needs Improvement,No,19-03-1995,
723,00-51262331,Robert,Miller,Male,New York,New York City,18-11-2015,Sales,Sales Representative,High School,"60,188",Satisfactory,No,17-03-2003,
724,00-67881056,Mary,Miller,Female,New York,New York City,15-05-2015,Customer Service,Customer Service Manager,PhD,"65,587",Satisfactory,Yes,20-03-1988,20-07-2017
725,00-99601933,James,Brown,Male,New York,New York City,30-09-2021,Sales,Sales Consultant,Bachelor,"74,219",Satisfactory,Yes,22-03-1982,21-01-2023
726,00-47228730,Charles,Lopez,Female,New York,Buffalo,19-10-2016,Customer Service,Customer Service Representative,High School,"62,989",Satisfactory,No,26-03-1967,
727,00-80979534,Michael,Miller,Male,New York,Buffalo,04-12-2016,Marketing,Marketing Manager,High School,"78,051",Good,Yes,24-03-1972,
728,00-73715236,Barbara,Jackson,Male,Michigan,Detroit,06-12-2019,IT,IT Manager,Bachelor,"96,507",Good,Yes,22-03-1980,
729,00-79021601,Linda,Wilson,Female,Michigan,Detroit,16-07-2023,Finance,Financial Analyst,High School,"1,11,066",Good,No,18-03-1997,
730,00-76547299,Barbara,Martinez,Female,New York,Rochester,05-02-2023,Marketing,Marketing Manager,High School,"93,006",Good,No,24-03-1973,
731,00-48065683,Joseph,Martin,Male,New York,Rochester,01-07-2018,Customer Service,Help Desk Technician,Bachelor,"1,03,383",Good,Yes,21-03-1986,
732,00-67440042,Michael,Williams,Female,New York,Buffalo,13-08-2022,Operations,Logistics Coordinator,Bachelor,"51,675",Good,No,24-03-1973,
733,00-63199848,Joseph,Taylor,Male,New York,Rochester,03-08-2022,IT,IT Manager,High School,"68,791",Excellent,No,23-03-1979,
734,00-89263249,Patricia,Garcia,Female,Ohio,Columbus,29-01-2019,IT,Software Developer,Master,"76,248",Excellent,No,26-03-1966,
735,00-64262755,Patricia,Davis,Female,New York,Buffalo,18-02-2023,Operations,Inventory Specialist,Master,"85,779",Excellent,No,23-03-1979,
736,00-99479873,Karen,Gonzalez,Female,New York,Buffalo,25-09-2020,Sales,Sales Specialist,Bachelor,"1,09,589",Satisfactory,No,18-03-1998,
737,00-75678288,Jessica,Davis,Male,New York,Rochester,05-07-2016,Operations,Operations Manager,High School,"56,927",Good,No,17-03-2000,
738,00-13590174,Jennifer,Gonzalez,Male,Michigan,Warren,14-08-2022,Marketing,Content Creator,Bachelor,"89,682",Excellent,Yes,18-03-1998,
739,00-98728736,Thomas,Thomas,Male,New York,Buffalo,07-04-2017,Operations,Logistics Coordinator,PhD,"1,14,258",Good,No,24-03-1972,
740,00-56119311,Sarah,Moore,Female,Michigan,Detroit,27-07-2023,Operations,Operations Manager,PhD,"65,615",Needs Improvement,Yes,22-03-1980,
741,00-60511038,Joseph,Anderson,Male,New York,New York City,15-05-2015,Sales,Sales Consultant,Master,"71,514",Satisfactory,No,24-03-1973,
742,00-51937627,Richard,Thomas,Male,Illinois,Chicago,19-05-2021,Sales,Sales Representative,PhD,"1,12,378",Good,No,25-03-1969,
743,00-78006116,Mary,Gonzalez,Female,Virginia,Norfolk,19-07-2020,Operations,Inventory Specialist,Master,"87,281",Satisfactory,No,21-03-1984,08-05-2024
744,00-16055696,Robert,Lopez,Female,New York,Buffalo,29-01-2024,IT,IT Manager,Master,"99,882",Good,Yes,18-03-1998,
745,00-57964863,Susan,Lopez,Female,Ohio,Columbus,01-06-2022,Customer Service,Customer Service Representative,Bachelor,"80,752",Good,No,21-03-1985,
746,00-18791292,Elizabeth,Brown,Male,New York,Buffalo,26-11-2016,IT,IT Manager,Master,"54,899",Good,No,24-03-1975,
747,00-66703371,Charles,Taylor,Female,Michigan,Grand Rapids,28-12-2017,Marketing,Marketing Manager,PhD,"52,914",Good,Yes,21-03-1984,
748,00-62385285,David,Jackson,Male,New York,New York City,24-01-2024,Operations,Inventory Specialist,High School,"76,988",Satisfactory,No,22-03-1983,
749,00-99575241,David,Garcia,Male,Ohio,Cincinnati,11-05-2018,Operations,Logistics Coordinator,PhD,"76,444",Excellent,Yes,24-03-1973,
750,00-20109437,Sarah,Miller,Female,New York,Buffalo,22-12-2017,Marketing,Marketing Manager,Master,"1,02,694",Good,No,20-03-1990,
751,00-22342371,Charles,Brown,Male,Michigan,Warren,11-10-2018,Sales,Sales Specialist,High School,"1,19,607",Satisfactory,Yes,24-03-1974,
752,00-56616029,John,Martinez,Female,New York,Rochester,07-01-2024,Sales,Sales Specialist,PhD,"91,071",Good,No,19-03-1992,
753,00-43724189,Karen,Taylor,Female,Illinois,Aurora,13-07-2022,Operations,Operations Analyst,High School,"1,17,662",Good,No,19-03-1993,
754,00-38582041,Joseph,Rodriguez,Female,New York,Rochester,22-12-2020,Marketing,Marketing Coordinator,High School,"1,18,454",Good,Yes,19-03-1992,
755,00-29829822,Linda,Jones,Male,Michigan,Warren,08-09-2022,Sales,Sales Specialist,PhD,"1,03,773",Satisfactory,No,21-03-1984,
756,00-18647316,Michael,Wilson,Male,Ohio,Cleveland,27-03-2024,Operations,Logistics Coordinator,Bachelor,"83,612",Satisfactory,No,26-03-1966,
757,00-42008703,Patricia,Jones,Female,New York,New York City,24-04-2015,HR,HR Coordinator,Master,"1,10,838",Satisfactory,No,24-03-1973,
758,00-68536768,Susan,Johnson,Female,New York,New York City,14-10-2016,Finance,Financial Analyst,Bachelor,"53,819",Excellent,No,20-03-1988,
759,00-47281925,Sarah,Garcia,Female,New York,Rochester,23-07-2024,Operations,Operations Manager,PhD,"52,609",Satisfactory,Yes,17-03-2001,
760,00-21264832,David,Martin,Male,New York,Buffalo,21-09-2024,IT,IT Manager,PhD,"97,636",Good,No,18-03-1999,
761,00-28865664,Linda,Brown,Female,Michigan,Warren,28-03-2023,Customer Service,Customer Service Manager,Master,"1,15,070",Needs Improvement,Yes,18-03-1999,
762,00-26411718,David,Hernandez,Male,New York,Rochester,08-04-2023,Sales,Sales Representative,Bachelor,"1,05,426",Excellent,Yes,20-03-1991,
763,00-33508806,Michael,Rodriguez,Male,New York,Buffalo,31-07-2019,Sales,Sales Specialist,High School,"1,14,272",Good,Yes,25-03-1970,
764,00-25161415,David,Moore,Male,New York,Buffalo,29-04-2020,Customer Service,Customer Service Representative,Master,"68,993",Satisfactory,No,22-03-1981,
765,00-59357131,Elizabeth,Smith,Female,New York,Rochester,17-10-2021,Operations,Operations Manager,High School,"81,414",Good,Yes,20-03-1988,
766,00-51509315,Barbara,Brown,Female,New York,Rochester,21-09-2024,Finance,Accountant,PhD,"1,00,917",Satisfactory,Yes,16-03-2004,
767,00-62744287,William,Martinez,Female,Pennsylvania,Philadelphia,23-03-2024,Customer Service,Customer Service Representative,Master,"77,575",Good,No,19-03-1994,
768,00-94738725,David,Wilson,Female,Michigan,Detroit,27-01-2018,IT,IT Manager,PhD,"1,11,746",Needs Improvement,No,23-03-1978,
769,00-54657219,Susan,Brown,Male,New York,New York City,31-10-2022,Finance,Financial Analyst,High School,"96,118",Good,Yes,23-03-1978,
770,00-83514771,David,Anderson,Male,Michigan,Warren,23-04-2015,Operations,Operations Manager,Bachelor,"1,08,117",Satisfactory,Yes,18-03-1996,02-12-2016
771,00-94328498,Elizabeth,Hernandez,Female,New York,Rochester,03-12-2015,Operations,Operations Manager,Bachelor,"82,716",Needs Improvement,No,25-03-1971,
772,00-97131540,Robert,Martin,Female,New York,Rochester,08-08-2019,Operations,Logistics Coordinator,PhD,"1,12,700",Good,No,18-03-1996,
773,00-89593852,David,Martinez,Male,New York,New York City,12-12-2015,Sales,Sales Representative,Master,"73,840",Good,Yes,23-03-1979,
774,00-86556525,Linda,Smith,Female,New York,New York City,06-04-2021,Operations,Operations Analyst,High School,"1,10,610",Satisfactory,Yes,19-03-1992,
775,00-32650041,Mary,Gonzalez,Female,New York,Rochester,23-10-2019,IT,System Administrator,Bachelor,"61,673",Satisfactory,Yes,22-03-1981,
776,00-86134053,Patricia,Smith,Female,New York,Rochester,23-11-2020,Customer Service,Help Desk Technician,PhD,"1,14,769",Good,Yes,18-03-1997,
777,00-37265709,Michael,Rodriguez,Male,Illinois,Aurora,16-05-2023,Customer Service,Help Desk Technician,PhD,"67,065",Good,No,23-03-1977,
778,00-90541748,Michael,Martinez,Male,Michigan,Warren,05-08-2022,Operations,Operations Analyst,PhD,"73,641",Satisfactory,No,23-03-1978,
779,00-13861862,Elizabeth,Rodriguez,Male,New York,New York City,05-12-2021,Operations,Inventory Specialist,Bachelor,"98,449",Good,No,26-03-1967,
780,00-71493746,John,Smith,Male,New York,Buffalo,29-06-2016,Customer Service,Support Specialist,PhD,"77,815",Good,No,22-03-1980,
781,00-90154282,William,Williams,Female,New York,New York City,31-03-2021,Customer Service,Customer Service Manager,High School,"93,628",Good,No,20-03-1989,
782,00-57553566,Karen,Martin,Male,New York,Rochester,23-05-2023,Sales,Sales Manager,High School,"83,247",Good,No,24-03-1972,
783,00-50601849,Richard,Lopez,Female,New York,New York City,10-04-2021,HR,HR Manager,Bachelor,"84,116",Needs Improvement,No,19-03-1994,
784,00-55523530,Joseph,Jones,Female,Florida,Miami,23-07-2018,Sales,Sales Representative,Bachelor,"84,131",Satisfactory,No,18-03-1997,
785,00-27162621,Jessica,Rodriguez,Male,New York,Rochester,16-01-2019,Operations,Inventory Specialist,Master,"84,500",Good,No,20-03-1988,
786,00-68488779,Jennifer,Hernandez,Female,New York,Rochester,05-07-2020,Operations,Operations Analyst,PhD,"56,975",Satisfactory,Yes,19-03-1992,
787,00-40851360,Jennifer,Johnson,Male,New York,Buffalo,01-12-2017,Operations,Operations Analyst,PhD,"1,07,203",Good,No,18-03-1997,
788,00-76425800,Mary,Anderson,Male,New York,Buffalo,14-12-2022,IT,IT Support Specialist,PhD,"1,14,616",Good,No,18-03-1997,
789,00-29871432,Patricia,Lopez,Male,Michigan,Detroit,14-04-2017,IT,System Administrator,Bachelor,"72,058",Good,Yes,24-03-1972,
790,00-85597784,Charles,Miller,Female,New York,Rochester,17-01-2015,Operations,Operations Analyst,PhD,"60,070",Good,Yes,20-03-1989,
791,00-22657432,David,Smith,Female,Ohio,Cleveland,22-08-2022,Customer Service,Customer Service Manager,PhD,"98,963",Good,Yes,26-03-1967,
792,00-24236463,David,Jones,Male,Michigan,Detroit,29-11-2015,Marketing,Marketing Coordinator,PhD,"1,09,513",Excellent,Yes,21-03-1987,
793,00-10779182,David,Johnson,Male,New York,Rochester,24-12-2021,IT,IT Support Specialist,Master,"66,950",Good,Yes,20-03-1991,
794,00-96388439,Elizabeth,Hernandez,Male,New York,New York City,05-05-2023,IT,IT Manager,PhD,"62,130",Good,No,23-03-1979,
795,00-42223009,Richard,Williams,Male,New York,New York City,23-07-2024,Sales,Sales Consultant,Bachelor,"1,00,921",Satisfactory,Yes,23-03-1979,
796,00-97787024,Robert,Brown,Male,New York,Buffalo,03-07-2020,Operations,Inventory Specialist,Master,"67,208",Excellent,No,22-03-1982,
797,00-59319220,Thomas,Miller,Male,Pennsylvania,Pittsburgh,30-12-2019,Sales,Sales Representative,PhD,"85,190",Good,No,25-03-1968,
798,00-22109438,Susan,Lopez,Male,New York,Rochester,02-02-2017,Marketing,Marketing Coordinator,PhD,"62,182",Good,No,17-03-2002,
799,00-72213255,Linda,Jones,Female,New York,Buffalo,29-11-2020,Operations,Operations Manager,Master,"1,11,370",Excellent,No,23-03-1977,24-11-2025
800,00-74103912,Elizabeth,Jones,Female,New York,New York City,03-09-2022,Marketing,Content Creator,Bachelor,"1,18,562",Good,Yes,23-03-1977,
801,00-16405980,Sarah,Williams,Male,Pennsylvania,Philadelphia,03-10-2020,Operations,Operations Manager,PhD,"1,04,135",Good,Yes,18-03-1998,
802,00-86299853,William,Lopez,Female,New York,Buffalo,26-07-2021,Marketing,Marketing Manager,High School,"64,933",Satisfactory,Yes,24-03-1975,
803,00-34455561,Richard,Johnson,Female,New York,New York City,01-09-2019,Operations,Logistics Coordinator,Master,"1,09,637",Good,No,23-03-1976,
804,00-45577682,David,Garcia,Female,North Carolina,Charlotte,28-01-2017,Customer Service,Customer Service Manager,Master,"63,936",Good,Yes,23-03-1977,
805,00-10784780,Richard,Brown,Female,New York,New York City,04-12-2016,Operations,Inventory Specialist,PhD,"1,03,096",Satisfactory,No,26-03-1966,
806,00-50641125,Karen,Martin,Male,New York,Buffalo,29-09-2022,IT,IT Support Specialist,Master,"61,486",Satisfactory,No,18-03-1996,
807,00-35609022,Patricia,Smith,Male,New York,Rochester,09-02-2017,IT,IT Manager,Bachelor,"1,13,060",Needs Improvement,Yes,19-03-1995,
808,00-68490538,Sarah,Miller,Male,Michigan,Detroit,17-05-2018,Operations,Inventory Specialist,Bachelor,"1,12,126",Satisfactory,No,23-03-1977,19-10-2019
809,00-30457766,Joseph,Thomas,Male,New York,Buffalo,22-03-2015,Finance,Accounts Payable Specialist,Bachelor,"76,389",Good,No,21-03-1986,
810,00-62577566,Mary,Hernandez,Female,New York,New York City,25-02-2016,Operations,Inventory Specialist,PhD,"1,14,972",Satisfactory,Yes,26-03-1967,
811,00-84397493,Elizabeth,Johnson,Male,New York,Buffalo,26-06-2019,Customer Service,Help Desk Technician,PhD,"80,396",Good,No,17-03-2001,
812,00-66640491,Charles,Hernandez,Female,Ohio,Cincinnati,18-09-2015,IT,System Administrator,PhD,"1,12,041",Satisfactory,No,18-03-1997,
813,00-96728786,Barbara,Anderson,Female,New York,Rochester,22-11-2019,Operations,Operations Manager,Bachelor,"87,750",Good,No,19-03-1992,
814,00-68802221,Linda,Taylor,Female,New York,New York City,04-08-2021,Customer Service,Support Specialist,PhD,"67,191",Satisfactory,No,21-03-1986,
